Database;URL;DOI;Author(s);Year;Venue;Type;Title;Abstract;Keywords;;;;;
ACM Digital Library;https://doi.org/10.1145/2976749.2978313;10.1145/2976749.2978313;Englehardt, Steven ─ Narayanan, Arvind;2016;CCS '16;Conference;Online Tracking: A 1-million-site Measurement and Analysis;"We present the largest and most detailed measurement of online tracking conducted to date, based on a crawl of the top 1 million websites. We make 15 types of measurements on each site, including stateful (cookie-based) and stateless (fingerprinting-based) tracking, the effect of browser privacy tools, and the exchange of tracking data between different sites (""cookie syncing""). Our findings include multiple sophisticated fingerprinting techniques never before measured in the wild. This measurement is made possible by our open-source web privacy measurement tool, OpenWPM, which uses an automated version of a full-fledged consumer browser. It supports parallelism for speed and scale, automatic recovery from failures of the underlying browser, and comprehensive browser instrumentation. We demonstrate our platform's strength in enabling researchers to rapidly detect, quantify, and characterize emerging online tracking behaviors.";browser fingerprinting ─ browser privacy ─ browser security ─ device fingerprinting ─ measurement ─ online advertising ─ web measurement ─ web privacy ─ web tracking;;;;;
ACM Digital Library;https://doi.org/10.1145/2660267.2660347;10.1145/2660267.2660347;Acar, Gunes ─ Eubank, Christian ─ Englehardt, Steven ─ Juarez, Marc ─ Narayanan, Arvind ─ Diaz, Claudia;2014;CCS '14;Conference;The Web Never Forgets: Persistent Tracking Mechanisms in the Wild;"We present the first large-scale studies of three advanced web tracking mechanisms - canvas fingerprinting, evercookies and use of ""cookie syncing"" in conjunction with evercookies. Canvas fingerprinting, a recently developed form of browser fingerprinting, has not previously been reported in the wild ─ our results show that over 5% of the top 100,000 websites employ it. We then present the first automated study of evercookies and respawning and the discovery of a new evercookie vector, IndexedDB. Turning to cookie syncing, we present novel techniques for detection and analysing ID flows and we quantify the amplification of privacy-intrusive tracking practices due to cookie syncing. Our evaluation of the defensive techniques used by privacy-aware users finds that there exist subtle pitfalls — such as failing to clear state on multiple browsers at once - in which a single lapse in judgement can shatter privacy defenses. This suggests that even sophisticated users face great difficulties in evading tracking techniques.";privacy ─ browser fingerprinting ─ canvas fingerprinting ─ cookie syncing ─ evercookie ─ flash ─ javascript ─ tracking ─ web security;;;;;
ACM Digital Library;https://doi.org/10.1145/2736277.2741679;10.1145/2736277.2741679;Englehardt, Steven ─ Reisman, Dillon ─ Eubank, Christian ─ Zimmerman, Peter ─ Mayer, Jonathan ─ Narayanan, Arvind ─ Felten, Edward W.;2015;WWW '15;Conference;Cookies That Give You Away: The Surveillance Implications of Web Tracking;"We study the ability of a passive eavesdropper to leverage ""third-party"" HTTP tracking cookies for mass surveillance. If two web pages embed the same tracker which tags the browser with a unique cookie, then the adversary can link visits to those pages from the same user (i.e., browser instance) even if the user's IP address varies. Further, many popular websites leak a logged-in user's identity to an eavesdropper in unencrypted traffic. To evaluate the effectiveness of our attack, we introduce a methodology that combines web measurement and network measurement. Using OpenWPM, our web privacy measurement platform, we simulate users browsing the web and find that the adversary can reconstruct 62-73% of a typical user's browsing history. We then analyze the effect of the physical location of the wiretap as well as legal restrictions such as the NSA's ""one-end foreign"" rule. Using measurement units in various locations - Asia, Europe, and the United States - we show that foreign users are highly vulnerable to the NSA's dragnet surveillance due to the concentration of third-party trackers in the U.S. Finally, we find that some browser-based privacy tools mitigate the attack while others are largely ineffective.";privacy ─ web measurement ─ web privacy ─ web tracking ─ cookies ─ network measurement ─ security ─ surveillance;;;;;
ACM Digital Library;https://doi.org/10.1145/2815675.2815705;10.1145/2815675.2815705;Pujol, Enric ─ Hohlfeld, Oliver ─ Feldmann, Anja;2015;IMC '15;Conference;Annoyed Users: Ads and Ad-Block Usage in the Wild;"Content and services which are offered for free on the Internet are primarily monetized through online advertisement. This business model relies on the implicit agreement between content providers and users where viewing ads is the price for the ""free"" content. This status quo is not acceptable to all users, however, as manifested by the rise of ad-blocking plugins which are available for all popular Web browsers. Indeed, ad-blockers have the potential to substantially disrupt the widely established business model of ""free"" content, currently one of the core elements on which the Web is built.In this work, we shed light on how users interact with ads. We show how to leverage the functionality of AdBlock Plus, one of the most popular ad-blockers to identify ad traffic from passive network measurements. We complement previous work, which focuses on active measurements, by characterizing ad-traffic in the wild, i.e., as seen in a residential broadband network of a major European ISP. Finally, we assess the prevalence of ad-blockers in this particular network and discuss possible implications for content providers and ISPs.";adblock plus ─ advertising ─ residential broadband traffic ─ web;;;;;
ACM Digital Library;https://doi.org/10.1145/3178876.3186097;10.1145/3178876.3186097;Gómez-Boix, Alejandro ─ Laperdrix, Pierre ─ Baudry, Benoit;2018;WWW '18;Conference;Hiding in the Crowd: an Analysis of the Effectiveness of Browser Fingerprinting at Large Scale;Browser fingerprinting is a stateless technique, which consists in collecting a wide range of data about a device through browser APIs. Past studies have demonstrated that modern devices present so much diversity that fingerprints can be exploited to identify and track users online. With this work, we want to evaluate if browser fingerprinting is still effective at uniquely identifying a large group of users when analyzing millions of fingerprints over a few months. We collected 2,067,942 browser fingerprints from one of the top 15 French websites. The analysis of this novel dataset sheds a new light on the ever-growing browser fingerprinting domain. The key insight is that the percentage of unique fingerprints in our dataset is much lower than what was reported in the past: only 33.6% of fingerprints are unique by opposition to over 80% in previous studies. We show that non-unique fingerprints tend to be fragile. If some features of the fingerprint change, it is very probable that the fingerprint will become unique. We also confirm that the current evolution of web technologies is benefiting users» privacy significantly as the removal of plugins brings down substantively the rate of unique desktop machines.;privacy ─ browser fingerprinting ─ software diversity;;;;;
ACM Digital Library;https://doi.org/10.1145/2736277.2741090;10.1145/2736277.2741090;Nikiforakis, Nick ─ Joosen, Wouter ─ Livshits, Benjamin;2015;WWW '15;Conference;PriVaricator: Deceiving Fingerprinters with Little White Lies;"Researchers have shown that, in recent years, unwanted web tracking is on the rise, with browser-based fingerprinting being adopted by more and more websites as a viable alternative to third-party cookies. In this paper we propose PriVaricator, a solution to the problem of browser-based fingerprinting. A key insight is that when it comes to web tracking, the real problem with fingerprinting is not uniqueness of a fingerprint, it is linkability, i.e., the ability to connect the same fingerprint across multiple visits. Thus, making fingerprints non-deterministic also makes them hard to link across browsing sessions. In PriVaricator we use the power of randomization to ""break"" linkability by exploring a space of parameterized randomization policies. We evaluate our techniques in terms of being able to prevent fingerprinting and not breaking existing (benign) sites. The best of our randomization policies renders all the fingerprinters we tested ineffective, while causing minimal damage on a set of 1000 Alexa sites on which we tested, with no noticeable performance overhead.";tracking ─ fingerprinting ─ randomization;;;;;
ACM Digital Library;https://doi.org/10.1145/2998181.2998316;10.1145/2998181.2998316;Yao, Yaxing ─ Lo Re, Davide ─ Wang, Yang;2017;CSCW '17;Conference;Folk Models of Online Behavioral Advertising;"Online Behavioral Advertising (OBA) is pervasive on the Internet. While there is a line of empirical research that studies Internet users' attitudes and privacy preferences of OBA, little is known about their actual understandings of how OBA works. This is an important question to answer because people often draw on their understanding to make decisions. Through a qualitative study conducted in an iterative manner, we identify four ""folk models"" held by our participants about how OBA works and show how these models are either incomplete or inaccurate in representing common OBA practices. We discuss how privacy tools can be designed to consider these folk models. In addition, most of our participants felt that the information being tracked is more important than who the web trackers are. This suggests the potential for an information-based blocking scheme rather than a tracker-based blocking scheme used by most existing ad-blocking tools.";web tracking ─ mental model ─ online behavioral advertising (oba) ─ privacy-enhancing technologies (pets);;;;;
ACM Digital Library;https://doi.org/10.1145/3243734.3243796;10.1145/3243734.3243796;Sanchez-Rola, Iskander ─ Santos, Igor ─ Balzarotti, Davide;2018;CCS '18;Conference;Clock Around the Clock: Time-Based Device Fingerprinting;Physical device fingerprinting exploits hardware features to uniquely identify a machine. This technique has been used for authentication, license binding, or attackers identification, among other tasks. More recently, hardware features have also been introduced to identify web users and perform web tracking. A particular type of hardware fingerprint exploits differences in the computer internal clock signals. However, previous methods to test for these differences relied on complex experiments performed by running native code in the target machine. In this paper, we show a new way to compute a hardware finger- printing, based on timing the execution of sequences of instructions readily available in API functions. Due to its simplicity, this method can also be performed remotely by simply timing few seemingly innocuous lines of JavaScript code. We tested our approach with different functions, such as common string manipulation or widespread cryptographic routines, and found that several of them can be used as basic blocks for fingerprinting. Using this technique, we implemented a tool called CryptoFP. We tested its native implementation in a homogeneous scenario, to distinguish among a perfectly identical (both in software and hardware) set of computers. CryptoFP was able to correctly discriminate all the identical computers in this scenario and recognize the same computer also under different CPU load configurations, outperforming every other hardware fingerprinting method. We then show how CryptoFP can be implemented using a combination of the HTML5 Cryptography API and standard timing API for web device fingerprinting. In this case, we compared our method, both in the same homogeneous scenario and by performing an experiment with real-world users running heterogeneous devices, against other state-of-the-art web device fingerprinting solutions. In both cases, our approach clearly outperforms all existing methods.;device fingerprinting ─ web privacy;;;;;
ACM Digital Library;https://doi.org/10.1145/3319535.3354222;10.1145/3319535.3354222;Tramèr, Florian ─ Dupré, Pascal ─ Rusak, Gili ─ Pellegrino, Giancarlo ─ Boneh, Dan;2019;CCS '19;Conference;AdVersarial: Perceptual Ad Blocking meets Adversarial Machine Learning;Perceptual ad-blocking is a novel approach that detects online advertisements based on their visual content. Compared to traditional filter lists, the use of perceptual signals is believed to be less prone to an arms race with web publishers and ad networks. We demonstrate that this may not be the case. We describe attacks on multiple perceptual ad-blocking techniques, and unveil a new arms race that likely disfavors ad-blockers. Unexpectedly, perceptual ad-blocking can also introduce new vulnerabilities that let an attacker bypass web security boundaries and mount DDoS attacks. We first analyze the design space of perceptual ad-blockers and present a unified architecture that incorporates prior academic and commercial work. We then explore a variety of attacks on the ad-blocker's detection pipeline, that enable publishers or ad networks to evade or detect ad-blocking, and at times even abuse its high privilege level to bypass web security boundaries. On one hand, we show that perceptual ad-blocking must visually classify rendered web content to escape an arms race centered on obfuscation of page markup. On the other, we present a concrete set of attacks on visual ad-blockers by constructing adversarial examples in a real web page context. For seven ad-detectors, we create perturbed ads, ad-disclosure logos, and native web content that misleads perceptual ad-blocking with 100% success rates. In one of our attacks, we demonstrate how a malicious user can upload adversarial content, such as a perturbed image in a Facebook post, that fools the ad-blocker into removing another users' non-ad content. Moving beyond the Web and visual domain, we also build adversarial examples for AdblockRadio, an open source radio client that uses machine learning to detects ads in raw audio streams.;ad blocking ─ adversarial example ─ machine learning;;;;;
ACM Digital Library;https://doi.org/10.1145/3038912.3052596;10.1145/3038912.3052596;Starov, Oleksii ─ Nikiforakis, Nick;2017;WWW '17;Conference;Extended Tracking Powers: Measuring the Privacy Diffusion Enabled by Browser Extensions;Users have come to rely on browser extensions to realize features that are not implemented by browser vendors. Extensions offer users the ability to, among others, block ads, de-clutter websites, enrich pages with third-party content, and take screenshots. At the same time, because of their privileged position inside a user's browser, extensions have access to content and functionality that is not available to webpages, such as, the ability to conduct and read cross-origin requests, as well as get access to a browser's history and cookie jar.In this paper, we report on the first large-scale study of privacy leakage enabled by extensions. By using dynamic analysis and simulated user interactions, we investigate the leaking happening by the 10,000 most popular browser extensions of Google Chrome and find that a non-negligible fraction leaks sensitive information about the user's browsing habits, such as, their browsing history and search-engine queries. We identify common ways that extensions use to obfuscate this leakage and discover that, while some leakage happens on purpose, a large fraction of it is accidental because of the way that extensions attempt to introduce third-party content to a page's DOM. To counter the inference of a user's interests and private information enabled by this leakage, we design, implement, and evaluate BrowsingFog, a browser extension that automatically browses the web in a way that conceals a user's true interests, from a vantage point of history-stealing, third-party trackers.;web tracking ─ browser extensions ─ privacy diffusion;;;;;
