"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Presenting a Client-based Cross-browser Web Privacy Measurement Framework for Automated Web Tracker Detection Research","P. Raschke; T. Cory","Service-Centric Networking, Technische Universität Berlin, Berlin, Germany; Service-Centric Networking, Technische Universität Berlin, Berlin, Germany",2022 3rd International Conference on Electrical Engineering and Informatics (ICon EEI),"12 Dec 2022","2022","","","98","103","Exploiting and monetizing personal data in exchange for free content and services has sparked controversy in past years. Thus, Web Tracking gained increased attention among researchers and the general public. Various empirical studies to quantify and assess the impact of Web Tracking on our privacy emerged along with measuring techniques and technologies. Two approaches for Web privacy measurements have proven successful: client-based and proxy-based approaches. Proxy-based approaches offer cross-browser support by design, while client-based measurement tools must be adopted for each browser. This paper presents a client-based cross-browser Web privacy measurement framework, which is easy to set up and extend. We demonstrate the performance of our tool by carrying out 12 crawls of the Tranco top 10K pages. Our results show significant differences in third-party and Web tracking activity among browsers. Privacy-focused browsers like Brave show significantly less Ad & Web tracking activity than Chrome or Firefox. Therefore, our tool enables cross-browser Web privacy measurements with the client-based approach suitable for studies in which the proxy-based approach is not applicable.","","978-1-6654-5434-6","10.1109/IConEEI55709.2022.9972261","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9972261","Web Privacy;Web Tracking;Web Privacy Measurement Framework;Third-Party Cookies;Fingerprinting","Electrical engineering;Privacy;Electric variables measurement;Browsers;Informatics","","","","23","IEEE","12 Dec 2022","","","IEEE","IEEE Conferences"
"The web is watching you: A comprehensive review of web-tracking techniques and countermeasures","I. Sanchez-Rola; X. Ugarte-Pedrero; I. Santos; P. G. Bringas",NA; NA; NA; NA,Logic Journal of the IGPL,"18 Jan 2018","2017","25","1","18","29","Web tracking is a commonly-used practice on the Internet devoted to retrieve user information for activities such as personalization or advertisement. These techniques are said to drive the web economy, although they are commonly used to invade users' privacy. In the last years, a general concern raised about web tracking, looking forward to combat it in many ways like regulations, anti-tracking methods and even standardization. In this paper, we analyze and discuss the current techniques for web-tracking as well as techniques for its detection and analysis, and countermeasures to prevent web tracking.","1368-9894","","10.1093/jigpal/jzw041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8142531","Web privacy;web tracking;web security","","","2","","","","18 Jan 2018","","","OUP","OUP Journals"
"URL-based Web Tracking Detection Using Deep Learning","I. Castell-Uroz; T. Poissonnier; P. Manneback; P. Barlet-Ros","Department of Computer Architecture, Universitat Politècnica de Catalunya, Barcelona, Spain; Computer Science Unit, Faculty of Engineering, University of Mons, Mons, Belgium; Computer Science Unit, Faculty of Engineering, University of Mons, Mons, Belgium; Department of Computer Architecture, Universitat Politècnica de Catalunya, Barcelona, Spain",2020 16th International Conference on Network and Service Management (CNSM),"30 Nov 2020","2020","","","1","5","The pervasiveness of online web tracking poses a constant threat to the privacy of Internet users. Millions of users currently employ content-blockers in their web browsers to block tracking resources in real time. Although content-blockers are based on blacklists, which are known to be difficult to maintain and easy to evade, the research community has not succeeded in replacing them with better alternatives yet. Most of the methods recently proposed in the literature obtain good detection accuracy, but at the expense of increasing their complexity and making them more difficult to maintain and configure by the end user. In this paper, we present a new web tracking detection method, called Deep Tracking Detector (DTD), that analyzes the properties of URL strings to detect tracking resources, without using any other external features. Consequently, DTD can easily be implemented in a browser plugin and operate in real time. Our experimental results, with more than 5M HTTP requests from 100K websites, show that DTD achieves a detection accuracy higher than 97% by looking only at the URL of the resources.","2165-963X","978-3-903176-31-7","10.23919/CNSM50824.2020.9269065","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9269065","web tracking;deep learning;URL classification","Uniform resource locators;Deep learning;Browsers;Privacy;Feature extraction;Training;Proposals","","6","","23","","30 Nov 2020","","","IEEE","IEEE Conferences"
"Privacy scoring and users' awareness for Web tracking","A. Hamed; H. K. -B. Ayed","CRISTAL Lab. ENSI, University of Manouba, Tunis, Tunisia; Faculty of Science of Tunis, University of Tunis EI Manar, Tunis, Tunisia",2015 6th International Conference on Information and Communication Systems (ICICS),"7 May 2015","2015","","","100","105","Web tracking raises a potential privacy concern since users' browsing activities and personal information are collected and revealed to third parties without the users' consent. The emergence of new pervasive systems offers opportunities to widen “traditional” Web to the world of pervasive devices. In this paper, we revisit the problem of Web tracking. We propose an intuitive scoring model to measure the users' privacy risk when they are browsing the Web. We present a Firefox add-on which computes the scores of visited Webpages and provides users' awareness about how there are tracked on the Web. We distributed this add-on to two sets of Tunisian volunteers (students and researchers). We analyze the statistical results of the collected datasets and show that the users' behavior, the trackers and tracking components can increase the risk of privacy violations on the Web.","","978-1-4799-7349-1","10.1109/IACS.2015.7103210","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7103210","Web tracking;tracking components;privacy;scoring model","Privacy;Target tracking;Mobile communication;Facebook;Google;Computational modeling;Servers","","5","","19","IEEE","7 May 2015","","","IEEE","IEEE Conferences"
"Privacy risk assessment for Web tracking: A user-oriented approach toward privacy risk assessment for Web tracking","A. Hamed; H. K. Ben Ayed","Esprit School of Engineering, Tunis, Tunisia; CRISTAL Lab., University of Manouba, Tunis, Tunisia",2016 IEEE Canadian Conference on Electrical and Computer Engineering (CCECE),"3 Nov 2016","2016","","","1","6","Web tracking raises a privacy issue since users' browsing activities and personal information are collected and revealed to third parties without their consent. In this paper, we present a dynamic privacy scoring model that assesses the risk to users' privacy associated to tracking components. This model is based on two parameters, i.e. the severity and the relative importance of tracking components and their interactions. The contribution of this work is in its user-oriented approach toward users' awareness on privacy risk involved when browsing the Web.","","978-1-4673-8721-7","10.1109/CCECE.2016.7726741","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7726741","Risk assessment method;Web tracking;privacy;scoring model","Privacy;Risk management;Browsers;Information security;Face;History;Computers","","1","","32","IEEE","3 Nov 2016","","","IEEE","IEEE Conferences"
"TrackSign: Guided Web Tracking Discovery","I. Castell-Uroz; J. Solé-Pareta; P. Barlet-Ros","Universitat Politècnica de Catalunya, Barcelona, Spain; Universitat Politècnica de Catalunya, Barcelona, Spain; Universitat Politècnica de Catalunya, Barcelona, Spain",IEEE INFOCOM 2021 - IEEE Conference on Computer Communications,"26 Jul 2021","2021","","","1","10","Current web tracking practices pose a constant threat to the privacy of Internet users. As a result, the research community has recently proposed different tools to combat well-known tracking methods. However, the early detection of new, previously unseen tracking systems is still an open research problem. In this paper, we present TrackSign, a novel approach to discover new web tracking methods. The main idea behind TrackSign is the use of code fingerprinting to identify common pieces of code shared across multiple domains. To detect tracking fingerprints, TrackSign builds a novel 3-mode network graph that captures the relationship between fingerprints, resources and domains. We evaluated TrackSign with the top-100K most popular Internet domains, including almost 1M web resources from more than 5M HTTP requests. Our results show that our method can detect new web tracking resources with high precision (over 92%). TrackSign was able to detect 30K new trackers, more than 10K new tracking resources and 270K new tracking URLs, not yet detected by most popular blacklists. Finally, we also validate the effectiveness of TrackSign with more than 20 years of historical data from the Internet Archive.","2641-9874","978-1-6654-0325-2","10.1109/INFOCOM42981.2021.9488842","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9488842","web tracking;code signature;fingerprinting;network graph;3-mode graph","Privacy;Conferences;Fingerprint recognition;Writing;Tools;Internet;Partitioning algorithms","","6","","38","IEEE","26 Jul 2021","","","IEEE","IEEE Conferences"
"A Proposed Framework for Tracking and Identifying Users of Web Surfing Sessions","M. Omoogun-Anaekwe; S. A. Adeshina","School of Natural & Applied Sciences, Nile University of Nigeria; School of Natural & Applied Sciences, Nile University of Nigeria",2021 1st International Conference on Multidisciplinary Engineering and Applied Science (ICMEAS),"8 Feb 2022","2021","","","1","6","The internet is a very important tool used in our daily lives. Due to its benefit of easy transfer of information, most people have made the web a virtual place where they store various information and carryout daily commercial and personal activities. The volume of information deposited on the web, aids easy tracking of individuals because of the footprints they leave behind during various web sessions. Tracking users can be very helpful to both government and private organizations in identifying persons, their interests, and other traits they possess, which helps them target interventions accordingly. This paper discusses several mechanisms and web objects such as HTTP cookies, proxy servers, scripting etc. that can be used to track and uniquely identify users surfing the web. Related works to this paper are discussed and finally, a mechanism which combines the use of various web objects and protocols was proposed to accurately track and identify unique users during web surfing sessions. This proposed mechanism consists of three main steps; data retrieval, data analysis to identify the user and devices the user uses when surfing the web and finally summarization of the derived user information for clear and easy understanding","","978-1-6654-3493-5","10.1109/ICMEAS52683.2021.9692370","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9692370","HTTP Cookies;Web Privacy;Web Tracking;Scripting;Device and Browser fingerprinting","Target tracking;Protocols;Data analysis;Government;Fingerprint recognition;Browsers;Object recognition","","","","15","IEEE","8 Feb 2022","","","IEEE","IEEE Conferences"
"ASTrack: Automatic Detection and Removal of Web Tracking Code with Minimal Functionality Loss","I. Castell-Uroz; K. Fukuda; P. Barlet-Ros","Universitat Politècnica de Catalunya, Barcelona, Spain; National Institute of Informatics, Tokyo, Japan; Universitat Politècnica de Catalunya, Barcelona, Spain",IEEE INFOCOM 2023 - IEEE Conference on Computer Communications,"29 Aug 2023","2023","","","1","10","Recent advances in web technologies make it more difficult than ever to detect and block web tracking systems. In this work, we propose ASTrack, a novel approach to web tracking detection and removal. ASTrack uses an abstraction of the code structure based on Abstract Syntax Trees to selectively identify web tracking functionality shared across multiple web services. This new methodology allows us to: (i) effectively detect web tracking code even when using evasion techniques (e.g., obfuscation, minification, or webpackaging); and (ii) safely remove those portions of code related to tracking purposes without affecting the legitimate functionality of the website. Our evaluation with the top 10k most popular Internet domains shows that ASTrack can detect web tracking with high precision (98%), while discovering about 50k tracking code pieces and more than 3,400 new tracking URLs not previously recognized by most popular privacy-preserving tools (e.g., uBlock Origin). Moreover, ASTrack achieved a 36% reduction in functionality loss in comparison with the filter lists, one of the safest options available. Using a novel methodology that combines computer vision and manual inspection, we estimate that full functionality is preserved in more than 97% of the websites.","2641-9874","979-8-3503-3414-2","10.1109/INFOCOM53939.2023.10228902","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10228902","AST;web tracking;functionality loss;website breakage","Computer vision;Codes;Web services;Manuals;Syntactics;Inspection;Information filters","","2","","48","IEEE","29 Aug 2023","","","IEEE","IEEE Conferences"
"Enhancing User Awareness and Control of Web Tracking with ManTra","D. L. Re; C. Carpineto","University of Rome ‘La Sapienza’; Fondazione Ugo Bordoni, Rome",2016 IEEE/WIC/ACM International Conference on Web Intelligence (WI),"16 Jan 2017","2016","","","391","398","Web trackers can build accurate topical user profiles (e.g., in terms of habits and personal characteristics) by monitoring a user's browsing activities across websites. This process, known as behavioral targeting, has a number of practical benefits but it also raises privacy concerns. Most existing techniques either try to block web tracking altogether or aim to endow it with privacy preserving mechanisms, but they are system-centered rather than user-centered. Nowadays, the majority of users want to have some degree of control over their privacy, while their perspectives and feelings towards web tracking maybe different, ranging from a desire to avoid being profiled at all to a willingness to trade personal information for better services. Regardless of a specific user's preference, from a technical point of view there is is no simple way for him/her to monitor, let alone to influence, the behavior of web trackers. In this paper, we describe an approach which makes users aware of their likely tracking profile and gives them the possibility to bias the profile towards both ends of the web tracking spectrum, either by improving its accuracy beyond the tracker capabilities (thus emphasizing behavioral targeting) or by filling in false interests (thus increasing privacy). This goal is achieved by simulating the process of learning a user profile on the part of the tracker and then by retrofitting a web traffic suitable for producing the desired profile. Our approach has been implemented as a web browser extension called ManTra (Management of Tracking). The system has been evaluated in several dimensions, including its ability to learn an accurate ad-oriented user profile and to influence the behavior of a commercial tool for web tracking personalization, i.e., Google's Ads Settings.","","978-1-5090-4470-2","10.1109/WI.2016.0061","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7817078","web tracking;personalization;user profiling","Target tracking;Privacy;Google;Advertising;Monitoring;Browsers;Taxonomy","","2","","29","IEEE","16 Jan 2017","","","IEEE","IEEE Conferences"
"Tabbed Out: Subverting the Android Custom Tab Security Model","P. Beer; M. Squarcina; L. Veronese; M. Lindorfer",TU Wien; TU Wien; TU Wien; TU Wien,2024 IEEE Symposium on Security and Privacy (SP),"5 Sep 2024","2024","","","4591","4609","Mobile operating systems provide developers with various mobile-to-Web bridges to display Web pages inside native applications. A recently introduced component called Custom Tab (CT) provides an outstanding feature to overcome the usability limitations of traditional WebViews: it shares the state with the underlying browser. Similar to traditional WebViews, it can also keep the host application informed about ongoing Web navigations. In this paper, we perform the first systematic security evaluation of the CT component and show how the design of its security model did not consider cross-context state inference attacks when the feature was introduced. Additionally, we show how CTs can be exploited for fine-grained exfiltration of sensitive user browsing data, violation of Web session integrity by circumventing SameSite cookies, and how UI customization of the CT component can lead to phishing and information leakage. To assess the prevalence of CTs in the wild and the practicality of the mitigation strategies we propose, we carry out the first large-scale analysis of CT usage on over 50K Android applications. Our analysis reveals that their usage is widespread, with 83% of applications embedding CTs either directly or as part of a library.We have responsibly disclosed all our findings to Google, which has already taken steps to apply targeted mitigations, assigned three CVEs for the discovered vulnerabilities, and awarded us $10,000 in bounties. Our interaction with Google led to clarifications of the CT security model in the new Chrome Custom Tabs Security FAQ document.","2375-1207","979-8-3503-3130-1","10.1109/SP54263.2024.00105","Vienna Science and Technology Fund; European Research Council; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10646644","Web security;mobile security;XS-Leaks;Android;Web privacy;measurement;attack;Security;Web","Systematics;Operating systems;Prevention and mitigation;Phishing;Web pages;Information leakage;Browsers","","","","80","IEEE","5 Sep 2024","","","IEEE","IEEE Conferences"
