Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"FP-Block: Usable Web Privacy by Controlling Browser Fingerprinting","Computer Security -- ESORICS 2015","","","","10.1007/978-3-319-24177-7_1","Christof Ferreira TorresHugo JonkerSjouke Mauw","2015","http://link.springer.com/chapter/10.1007/978-3-319-24177-7_1","Chapter"
"User Tracking on the Web via Cross-Browser Fingerprinting","Information Security Technology for Applications","","","","10.1007/978-3-642-29615-4_4","Károly BodaÁdám Máté FöldesGábor György GulyásSándor Imre","2012","http://link.springer.com/chapter/10.1007/978-3-642-29615-4_4","Chapter"
"Smearing Fingerprints: Changing the Game of Web Tracking with Composite Privacy","Security Protocols XXIII","","","","10.1007/978-3-319-26096-9_19","Sandy ClarkMatt BlazeJonathan M. Smith","2015","http://link.springer.com/chapter/10.1007/978-3-319-26096-9_19","Chapter"
"PrivacyMeter: Designing and Developing a Privacy-Preserving Browser Extension","Engineering Secure Software and Systems","","","","10.1007/978-3-319-94496-8_6","Oleksii StarovNick Nikiforakis","2018","http://link.springer.com/chapter/10.1007/978-3-319-94496-8_6","Chapter"
"FPFlow: Detect and Prevent Browser Fingerprinting with Dynamic Taint Analysis","Cyber Security","","","","10.1007/978-981-16-9229-1_4","Tianyi LiXiaofeng ZhengKaiwen ShenXinhui Han","2022","http://link.springer.com/chapter/10.1007/978-981-16-9229-1_4","Chapter"
"Traffic-Based Automatic Detection of Browser Fingerprinting","Security and Privacy in Communication Networks","","","","10.1007/978-3-030-37228-6_18","Rui ZhaoEdward ChowChunchun Li","2019","http://link.springer.com/chapter/10.1007/978-3-030-37228-6_18","Chapter"
"MyWebGuard: Toward a User-Oriented Tool for Security and Privacy Protection on the Web","Future Data and Security Engineering","","","","10.1007/978-3-030-35653-8_33","Panchakshari N. HiremathJack ArmentroutSon VuTu N. NguyenQuang Tran MinhPhu H. Phung","2019","http://link.springer.com/chapter/10.1007/978-3-030-35653-8_33","Chapter"
"FPGuard: Detection and Prevention of Browser Fingerprinting","Data and Applications Security and Privacy XXIX","","","","10.1007/978-3-319-20810-7_21","Amin FaizKhademiMohammad ZulkernineKomminist Weldemariam","2015","http://link.springer.com/chapter/10.1007/978-3-319-20810-7_21","Chapter"
"Case Study: Disclosure of Indirect Device Fingerprinting in Privacy Policies","Socio-Technical Aspects in Security and Trust","","","","10.1007/978-3-030-55958-8_10","Julissa MilliganSarah SchefflerAndrew SellarsTrishita TiwariAri TrachtenbergMayank Varia","2021","http://link.springer.com/chapter/10.1007/978-3-030-55958-8_10","Chapter"
"Knockin’ on Trackers’ Door: Large-Scale Automatic Analysis of Web Tracking","Detection of Intrusions and Malware, and Vulnerability Assessment","","","","10.1007/978-3-319-93411-2_13","Iskander Sanchez-RolaIgor Santos","2018","http://link.springer.com/chapter/10.1007/978-3-319-93411-2_13","Chapter"
"Browser Randomisation against Fingerprinting: A Quantitative Information Flow Approach","Secure IT Systems","","","","10.1007/978-3-319-11599-3_11","Frédéric BessonNataliia BielovaThomas Jensen","2014","http://link.springer.com/chapter/10.1007/978-3-319-11599-3_11","Chapter"
"Assuring Privacy in Surfing the Internet","Innovative Security Solutions for Information Technology and Communications","","","","10.1007/978-3-030-12942-2_15","Stefan BodoarcaMihai-Lica Pura","2019","http://link.springer.com/chapter/10.1007/978-3-030-12942-2_15","Chapter"
"Beyond Cookie Monster Amnesia: Real World Persistent Online Tracking","Information Security","","","","10.1007/978-3-319-99136-8_26","Nasser Mohammed Al-FannahWanpeng LiChris J. Mitchell","2018","http://link.springer.com/chapter/10.1007/978-3-319-99136-8_26","Chapter"
"A Machine Learning Approach for Detecting Third-Party Trackers on the Web","Computer Security – ESORICS 2016","","","","10.1007/978-3-319-45744-4_12","Qianru WuQixu LiuYuqing ZhangPeng LiuGuanxing Wen","2016","http://link.springer.com/chapter/10.1007/978-3-319-45744-4_12","Chapter"
"Tracking the Trackers: Fast and Scalable Dynamic Analysis of Web Content for Privacy Violations","Applied Cryptography and Network Security","","","","10.1007/978-3-642-31284-7_25","Minh TranXinshu DongZhenkai LiangXuxian Jiang","2012","http://link.springer.com/chapter/10.1007/978-3-642-31284-7_25","Chapter"
"Fingerprint Defender: Defense Against Browser-Based User Tracking","Mobile Internet Security","","","","10.1007/978-981-16-9576-6_17","Deepali MoadVikas SihagGaurav ChoudharyDaniel Gerbi DugumaIlsun You","2022","http://link.springer.com/chapter/10.1007/978-981-16-9576-6_17","Chapter"
