Title,Authors
Understanding Privacy Norms through Web Forms,"Hao Cui, Rahmadi Trimananda, and Athina Markopoulou"
BehaVR: User Identification Based on VR Sensor Data,"Ismat Jarin, Yu Duan, Rahmadi Trimananda, Hao Cui, Salma Elmalaki, and Athina Markopoulou"
Topology-Based Reconstruction Prevention for Decentralised Learning,"Florine W. Dekker, Zekeriya Erkin, and Mauro Conti"
How Unique is Whose Web Browser? The role of demographics in browser fingerprinting among US users,"Alex Berke, Badih Ghazi, Enrico Bacis, Pritish Kamath, Ravi Kumar, Robin Lassonde, Pasin Manurangsi, and Umar Syed"
Lightweight Two-Party Secure Sampling Protocol for Differential Privacy,"Masanobu Kii, Atsunori Ichikawa, and Takayuki Miura"
SoK: Descriptive Statistics Under Local Differential Privacy,"René Raab, Pascal Berrang, Paul Gerhart, and Dominique Schröder"
User Privacy Perceptions Across the XR Spectrum: An Extended Reality Cross-Platform Comparative Analysis of A Virtual House Tour,"Chris Warin, Viktoriya Pak, and Delphine Reinhardt"
Privacy-preserving Multiple Sequence Alignment Scheme for Long Gene Sequence,"Yatong Jiang, Tao Shang, and Jianwe Liu"
Examining Caregiving Roles to Differentiate the Effects of Using a Mobile App for Community Oversight for Privacy and Security,"Mamtaj Akter, Jess Kropczynski, Heather Lipford, and Pamela Wisniewski"
Mastic: Private Weighted Heavy-Hitters and Attribute-Based Metrics,"Dimitris Mouris, Christopher Patton, Hannah Davis, Pratik Sarkar, and Nektarios Georgios Tsoutsos"
Real-world Deniability in Messaging,"Daniel Collins, Simone Colombo, and Loïs Huguenin-Dumittan"
Practical Two-party Computational Differential Privacy with Active Security,"Fredrik Meisingseth, Fabian Schmid, and Christian Rechberger"
EpiOracle: Privacy-Preserving Cross-Facility EarlyWarning for Unknown Epidemics,"Shiyu Li, Yuan Zhang, Yaqing Song, Fan Wu, Feng Lyu, Kan Yang, and Qiang Tang"
User-Centric Textual Descriptions of Privacy-Enhancing Technologies for Ad Tracking and Analytics,"Lu Xian, Song Mi Lee-Kan, Jane Im, and Florian Schaub"
"WatchWitch: Interoperability, Privacy, and Autonomy for the Apple Watch","Nils Rollshausen, Alexander Heinrich, Matthias Hollick, and Jiska Classen"
SoK: Computational and Distributed Differential Privacy for MPC,Fredrik Meisingseth and Christian Rechberger
Searchable Encryption for Conjunctive Queries with Extended Forward and Backward Privacy,"Cong Zuo, Shangqi Lai, Shi-Feng Sun, Xingliang Yuan, Joseph K. Liu, Jun Shao, Huaxiong Wang, Liehuang Zhu, and Shujie Cui"
Misalignments and Demographic Differences in Expected and Actual Privacy Settings on Facebook,"Byron Lowens, Sean Scarnecchia, Jane Im, Tanisha Afnan, Annie Chen, Yixin Zou, and Florian Schaub"
SoK: (Un)usable Privacy: the Lack of Overlap between Privacy-Aware Sensing and Usable Privacy Research,"Yasha Iravantchi, Pardis Emami-Naeini, and Alanson Sample"
Gig Work at What Cost?: Exploring Privacy Risks of Gig Work Platform Participation in the U.S.,"Amogh Pradeep, Johanna Gunawan, Alvaro Feal, Woodrow Hartzog, and David Choffnes"
Janus: Fast Privacy-Preserving Data Provenance For TLS,"Jan Lauinger, Jen Ernstberger, Andreas Finkenzeller, and Sebastian Steinhorst"
Improving the Performance and Security of Tor’s Onion Services,Arushi Arora and Christina Garman
Private Computation on Common Fuzzy Records,"Kyoohyung Han, Seongkwang Kim, and Yongha Son"
Communication-Efficient Differentially Private Federated Learning Using Second-Order Information,"Mounssif Krouka, Antti Koskela, and Tejas Kulkarni"
A Comprehensive Study of Privacy Risks in Curriculum Learning,"Joann Qiongna Chen, Xinlei He, Zheng Li, Yang Zhang, and Zhou Li"
PrePaMS: Privacy-Preserving Participant Management System for Studies with Rewards and Prerequisites,"Echo Meißner, Frank Kargl, Benjamin Erb, and Felix Engelmann"
“It’s Not My Data Anymore”: Exploring Non-Users’ Privacy Perceptions of Medical Data Donation Apps,"Sarah Abdelwahab Gaballah, Lamya Abdullah, Ephraim Zimmer, Sascha Fahl, Max Mühlhäuser, and Karola Marky"
MixBuy: Contingent Payment in the Presence of Coin Mixers,"Diego Castejon-Molina, Dimitrios Vasilopoulos, and Pedro Moreno-Sanchez"
The Battery Insertion Attack: Is Periodic Pseudo-randomization Sufficient for Beacon Privacy?,"Liron David, Moti Yung, Avinatan Hassidim, and Yossi Matias"
Hardware-Accelerated Encrypted Execution of General-Purpose Applications,"Charles Gouert, Vinu Joseph, Steven Dalton, Cedric Augonnet, Michael Garland, and Nektarios Georgios Tsoutsos"
PrivacyGuard: Exploring Hidden Cross-App Privacy Leakage Threats In IoT Apps,"Zhaohui Wang, Bo Luo, and Fengjun Li"
Re-visiting Authorized Private Set Intersection: A New Privacy-Preserving Variant and Two Protocols,Francesca Falzon and Evangelia Anna Markatou
The Impact of Default Mobile SDK Usage on Privacy and Data Protection,"Simon Koch, Manuel Karl, Robin Kirchner, Malte Wessels, Anne Paschke, and Martin Johns"
Noiseless Privacy-Preserving Decentralized Learning,"Sayan Biswas, Mathieu Even, Anne-Marie Kermarrec, Laurent Massoulie, Rafael Pires, Rishi Sharma, and Martijn de Vos"
Towards Privacy-preserving and Fairness-aware Federated Learning Framework,"Adda Akram Bendoukha, Didem Demirag, Nesrine Kaaniche, Aymen Boudguiga, Renaud Sirdey, and Sébastien Gambs"
RSA Blind Signatures with Public Metadata,"Ghous Amjad, Kevin Yeo, and Moti Yung"
"""What are they gonna do with my data?"": Privacy Expectations, Concerns, and Behaviors in Virtual Reality","Abhinaya S.B., Abhishri Agrawal, Yaxing Yao, Yixin Zou, and Anupam Das"
Identifying Privacy Personas,Olena Hrynenko and Andrea Cavallaro
Beyond the Request: Harnessing HTTP Response Headers for Cross-Browser Web Tracker Classification in an Imbalanced Setting,"Wolf Rieder, Philip Raschke, and Thomas Cory"
Communication Efficient Secure and Private Multi-Party Deep Learning,"Sankha Das, Sayak Ray Chowdhury, Nishanth Chandran, Divya Gupta, Satya Lokam, and Rahul Sharma"
"Revealing Hidden IoT Devices through Passive Detection, Fingerprinting, and Localization","Wei Sun, Hadi Givehchian, and Dinesh Bharadia"
DiDOTS: Knowledge Distillation from Large-Language-Models for Dementia Obfuscation in Transcribed Speech,Dominika Woszczyk and Soteris Demetriou
Analyzing the Differentially Private Theil-Sen Estimator for Simple Linear Regression,Jayshree Sarathy and Salil Vadhan
High-Throughput Secure Multiparty Computation with an Honest Majority in Various Network Settings,"Christopher Harth-Kitzerow, Ajith Suresh, Yongqin Wang, Hossein Yalame, Georg Carle, and Murali Annavaram"
